Galaxy,Molecule,Type,Flux (Jy),Error (Jy),Freq (Hz),Beam Size (arcsec)
HE01084743,Dense,Total,1.74E-04,5.34E-05,3.41E+11,7.50E-01
HE01084743,Dense,LSB,1.22E-04,5.68E-05,3.35E+11,7.55E-01
HE01084743,Dense,USB,2.12E-04,1.35E-04,3.47E+11,7.28E-01
HE04331028,CO,Total,1.72E-04,1.46E-05,1.04E+11,4.47E-01
HE04331028,CO,LSB,1.70E-04,1.47E-05,9.83E+10,4.50E-01
HE04331028,CO,USB,2.17E-04,6.40E-05,1.10E+11,4.06E-01
HE04331028,Dense,Total,7.68E-04,1.22E-04,3.37E+11,8.63E-01
HE04331028,Dense,LSB,7.66E-04,1.28E-04,3.31E+11,8.62E-01
HE04331028,Dense,USB,7.44E-04,2.45E-04,3.43E+11,8.99E-01
HE10291831,Dense,Total,5.70E-04,7.00E-05,3.36E+11,7.48E-01
HE10291831,Dense,LSB,8.25E-04,7.77E-05,3.30E+11,7.60E-01
HE10291831,Dense,USB,9.90E-04,1.66E-04,3.41E+11,7.33E-01
HE11082813,CO,Total,1.17E-04,2.08E-05,1.06E+11,5.71E-01
HE11082813,CO,LSB,1.16E-04,1.92E-05,9.94E+10,5.72E-01
HE11082813,CO,USB,1.19E-04,9.83E-05,1.11E+11,5.16E-01
HE11082813,Dense,Total,9.20E-04,5.60E-04,3.41E+11,8.07E-01
HE11082813,Dense,LSB,8.84E-04,7.76E-05,3.35E+11,8.14E-01
HE11082813,Dense,USB,1.13E-03,1.92E-04,3.47E+11,7.88E-01
HE13531917,CO,Total,4.51E-05,1.14E-05,1.04E+11,5.87E-01
HE13531917,CO,LSB,4.40E-05,1.18E-05,9.83E+10,5.89E-01
HE13531917,CO,USB,6.65E-05,4.99E-05,1.10E+11,5.34E-01
HE13531917,Dense,Total,9.48E-05,4.52E-05,3.37E+11,7.04E-01
HE13531917,Dense,LSB,9.26E-05,4.73E-05,3.31E+11,7.12E-01
HE13531917,Dense,USB,1.04E+04,1.03E-04,3.43E+11,6.93E-01
