Galaxy,Line,File Path,Rest Freq (GHz),Q_Factor,Beam Width,Beam Width Major,Beam Width Minor
HE0433,HCN,/Users/jelford/Documents/PhD_Work/CARS_Data/HE0433/HE0433_clean_hcn.image.fits,354.505473,0.0120125976700057,1.0209476,1.0209476,0.7915413
HE0433,HCO,/Users/jelford/Documents/PhD_Work/CARS_Data/HE0433/HE0433_clean_hco.image.fits,356.734223,0.011830931215221102,1.0188727,1.0188727,0.7953008
HE0108,HCN,/Users/jelford/Documents/PhD_Work/CARS_Data/HE0108/HE0108_clean_hcn.image.fits,354.505473,0.01817430161496494,0.77843505,0.77843505,0.6861733
HE0108,HCO,/Users/jelford/Documents/PhD_Work/CARS_Data/HE0108/HE0108_clean_hco.image.fits,356.734223,0.01812017124324026,0.7711024,0.7711024,0.6861134
HE1353,HCN,/Users/jelford/Documents/PhD_Work/CARS_Data/HE1353/HE1353_clean_hcn.image.fits,354.505473,0.020135845415040834,0.77376163,0.77376163,0.62307006
HE1353,HCO,/Users/jelford/Documents/PhD_Work/CARS_Data/HE1353/HE1353_clean_hco.image.fits,356.734223,0.020000700253672864,0.7705636,0.7705636,0.62203753
HE1108,HCN,/Users/jelford/Documents/PhD_Work/CARS_Data/HE1108/HE1108_clean_hcn.image.fits,354.505473,0.015585380829326643,0.98652214,0.98652214,0.63137835
HE1108,HCO,/Users/jelford/Documents/PhD_Work/CARS_Data/HE1108/HE1108_clean_hco.image.fits,356.734223,0.015397223243013184,0.9835444,0.9835444,0.633044
HE1029,HCN,/Users/jelford/Documents/PhD_Work/CARS_Data/HE1029/HE1029_clean_hcn.image.fits,354.609605797,0.017953377129951095,0.841592,0.841592,0.64211243
HE1029,HCO,/Users/jelford/Documents/PhD_Work/CARS_Data/HE1029/HE1029_clean_hco.image.fits,356.734223,0.017739291632213217,0.8384938,0.8384938,0.64451665
