Galaxy,HCN/HCO,Error1,HCN/CS,Error2,Type,High Res,Low Res,Detected
NGC1068,1.53,0.34,8.84,2.51,AGN,1,0,1
NGC1068 E,2.84,0.6,8.04,1.72,AGN,1,0,1
NGC1068 W,3.19,0.71,11.97,3.45,AGN,1,0,1
NGC1068 CND-N,3.14,0.72,12.79,4.48,AGN,1,0,1
NGC1068 CND-S,2.58,0.19,4.21,0,AGN,1,0,0
NGC1097,2.01,0.29,12.66,0,AGN,1,0,0
NGC7469,1.11,0.13,9.5,3.02,AGN,1,0,1
M82,0.41,0.12,4.09,1.14,SB,1,0,1
NGC253,1.03,0.22,3.4,0.73,SB,1,0,1
NGC1097 (SB Ring),0.82,0.17,1.38,0,SB,1,0,0
NGC1614,0.24,0.06,3.54,0,SB,1,0,0
NGC7469 (SB Ring B),0.75,0.14,3.65,0,SB,1,0,0
NGC7469 (SB Ring C),0.45,0.08,2.5,1.16,SB,1,0,1
NGC7469 (SB Ring D),0.48,0.06,3.03,1.19,SB,1,0,1
N113,0.21,0.06,1.3,0.58,SB,1,0,1
N159,0.11,0.03,2.16,0.6,SB,1,0,1
NGC1068,1.85,0.42,5,1.47,AGN,0,1,1
NGC1365,0.59,0.15,2.83,1.17,AGN,0,1,1
NGC4418,1.64,0.25,1.98,0.3,B_AGN,0,1,1
NGC4945,0.78,0.17,3.21,0.7,AGN,0,1,1
IRAS 12127-1412,1.58,0.58,4.32,2.17,B_AGN,0,1,1
NGC3256,0.39,0.11,1.38,0.51,SB,0,1,1
NGC3628,0.36,0.11,1.8,0.9,SB,0,1,1
NGC7552,0.54,0.15,2.17,0.92,SB,0,1,1
IRAS 13242-5713,1.23,0.29,2.39,0.66,SB,0,1,1
