Galaxy,Number,L_HCN,E_L_HCN,L_HCO+,E_L_HCO+,L_IR,E_L_IR,Source,HCN Detected,HCO Detected
NGC253,1,4.45E+06,5.00E+04,5.83E+06,6.00E+04,1.68E+10,1.02E+09,MALTANG,1,1
NGC253,2,2.77E+06,5.00E+04,2.80E+06,4.00E+04,8.70E+09,5.30E+08,MALTANG,1,1
NGC253,3,7.50E+05,4.00E+04,7.60E+05,7.00E+04,1.60E+09,9.00E+07,MALTANG,1,1
NGC253,4,1.62E+06,5.00E+04,2.51E+06,7.00E+04,5.66E+09,3.50E+08,MALTANG,1,1
NGC253,5,5.90E+05,6.00E+04,5.00E+05,7.00E+04,6.40E+08,4.00E+07,MALTANG,1,1
NGC253,6,1.33E+06,5.00E+04,6.40E+05,5.00E+04,1.16E+10,7.10E+08,MALTANG,1,1
NGC253,7,4.80E+05,8.00E+04,5.00E+05,7.00E+04,5.52E+09,330000000,MALTANG,1,1
NGC253,8,1.70E+05,3.00E+04,1.40E+05,0.00E+00,1.03E+09,60000000,MALTANG,1,0
NGC253,9,6.10E+05,3.00E+04,6.60E+05,5.00E+04,5.09E+09,300000000,MALTANG,1,1
NGC253,10,4.90E+05,4.00E+04,3.70E+05,5.00E+04,6.90E+08,40000000,MALTANG,1,1
NGC253,11,7.60E+05,4.00E+04,1.54E+06,6.00E+04,1.78E+09,110000000,MALTANG,1,1
NGC253,12,5.90E+05,5.00E+04,9.10E+05,8.00E+04,1.03E+09,60000000,MALTANG,1,1
NGC253,13,3.40E+05,3.00E+04,3.00E+05,7.00E+04,4.10E+08,20000000,MALTANG,1,1
NGC253,14,2.50E+05,5.00E+04,6.60E+05,6.00E+04,6.70E+08,40000000,MALTANG,1,1
NGC1068,1,1.40E+07,7.20E+05,5.21E+06,1.21E+06,4.35E+10,2800000000,MALTANG,1,1
NGC1068,2,2.45E+06,6.20E+05,1.65E+06,0.00E+00,1.51E+10,960000000,MALTANG,1,0
NGC1068,3,5.89E+06,1.06E+06,3.46E+06,9.10E+05,2.83E+10,1790000000,MALTANG,1,1
NGC1068,4,1.57E+06,0.00E+00,2.08E+06,5.40E+05,1.05E+10,650000000,MALTANG,0,1
NGC1068,5,7.21E+06,4.10E+05,4.87E+06,7.10E+05,2.68E+10,1690000000,MALTANG,1,1
NGC1068,6,2.20E+06,5.30E+05,2.19E+06,7.40E+05,1.68E+10,1050000000,MALTANG,1,1
NGC1068,7,3.10E+06,4.10E+05,2.80E+06,0.00E+00,1.61E+10,1010000000,MALTANG,1,0
NGC1068,8,1.50E+06,0.00E+00,1.64E+06,5.50E+05,6.27E+09,380000000,MALTANG,0,1
